event_idx,true_label,prediction,correct,trigger,score_raw,score_signed,raw_word_hex,event_sum,event_max,event_nonzero,latency_ms
36,0,0,1,0,3978,3978,0xf8a,9,1,9,1.6016960144042969
37,1,1,1,1,35,35,0x80000023,55,6,31,1.6138553619384766
38,0,0,1,0,3978,3978,0xf8a,8,1,8,1.592397689819336
39,1,0,0,0,3978,3978,0xf8a,10,2,7,1.585245132446289
40,0,0,1,0,3978,3978,0xf8a,10,2,8,1.729726791381836
41,1,1,1,1,4077,4077,0x80000fed,45,11,18,1.596212387084961
42,0,0,1,0,3978,3978,0xf8a,5,2,4,1.5919208526611328
43,0,0,1,0,3978,3978,0xf8a,7,1,7,1.6012191772460938
44,0,0,1,0,3978,3978,0xf8a,18,3,14,1.5904903411865234
45,1,0,0,0,3978,3978,0xf8a,5,1,5,1.5838146209716797
46,0,0,1,0,3978,3978,0xf8a,2,1,2,1.5931129455566406
47,1,1,1,1,170,170,0x800000aa,77,19,19,1.583099365234375
48,0,0,1,0,3978,3978,0xf8a,23,2,20,1.584768295288086
49,0,0,1,0,3978,3978,0xf8a,20,4,17,1.6834735870361328
50,0,0,1,0,3978,3978,0xf8a,9,4,5,1.583099365234375
51,0,0,1,0,3978,3978,0xf8a,37,5,23,1.5864372253417969
52,1,1,1,1,4058,4058,0x80000fda,27,4,12,1.583099365234375
53,0,1,0,1,4034,4034,0x80000fc2,44,10,25,1.6012191772460938
54,0,0,1,0,3978,3978,0xf8a,1,1,1,1.5788078308105469
55,0,0,1,0,3978,3978,0xf8a,22,5,16,1.5869140625
56,0,0,1,0,3978,3978,0xf8a,26,5,20,1.5864372253417969
57,1,0,0,0,3978,3978,0xf8a,16,2,15,1.5826225280761719
58,0,1,0,1,4040,4040,0x80000fc8,103,10,35,1.596689224243164
59,0,0,1,0,3978,3978,0xf8a,1,1,1,1.5838146209716797
60,1,1,1,1,303,303,0x8000012f,130,20,34,1.5680789947509766
61,0,0,1,0,3978,3978,0xf8a,8,1,8,1.6012191772460938
62,0,0,1,0,3978,3978,0xf8a,31,4,21,1.695871353149414
63,1,1,1,1,4078,4078,0x80000fee,75,15,28,1.57928466796875
64,0,1,0,1,3993,3993,0x80000f99,123,6,70,1.5981197357177734
65,0,0,1,0,3978,3978,0xf8a,22,2,20,1.5859603881835938
66,1,0,0,0,3978,3978,0xf8a,6,6,1,1.669168472290039
67,0,0,1,0,3978,3978,0xf8a,15,4,11,1.5811920166015625
68,0,0,1,0,3978,3978,0xf8a,45,5,28,1.57928466796875
69,1,1,1,1,11,11,0x8000000b,25,9,4,1.573324203491211
70,1,0,0,0,3978,3978,0xf8a,4,1,4,1.5897750854492188
71,1,1,1,1,4055,4055,0x80000fd7,52,12,21,1.5978813171386719
72,0,0,1,0,3978,3978,0xf8a,56,3,50,1.5723705291748047
73,0,0,1,0,3978,3978,0xf8a,17,4,11,1.5902519226074219
74,1,1,1,1,4072,4072,0x80000fe8,69,9,39,1.7371177673339844
75,0,0,1,0,3978,3978,0xf8a,13,2,10,1.6124248504638672
76,1,1,1,1,4075,4075,0x80000feb,34,12,8,1.6071796417236328
77,1,1,1,1,1,1,0x80000001,40,11,13,1.5835762023925781
78,1,1,1,1,239,239,0x800000ef,124,18,42,1.5764236450195312
79,1,1,1,1,149,149,0x80000095,37,13,6,1.5935897827148438
80,1,1,1,1,5,5,0x80000005,63,8,24,1.5835762023925781
81,1,0,0,0,3978,3978,0xf8a,3,1,3,1.589059829711914
82,0,0,1,0,3978,3978,0xf8a,0,0,0,1.5926361083984375
83,1,0,0,0,3978,3978,0xf8a,0,0,0,1.5909671783447266
84,0,0,1,0,3978,3978,0xf8a,7,1,7,1.5804767608642578
85,0,0,1,0,3978,3978,0xf8a,5,1,5,1.7313957214355469
86,0,0,1,0,3978,3978,0xf8a,17,2,16,1.5861988067626953
87,0,0,1,0,3978,3978,0xf8a,42,5,30,1.5823841094970703
88,0,0,1,0,3978,3978,0xf8a,10,3,7,1.5950202941894531
89,1,1,1,1,5,5,0x80000005,43,16,14,1.6891956329345703
90,0,0,1,0,3977,3977,0xf89,45,6,33,1.5726089477539062
91,0,0,1,0,3978,3978,0xf8a,8,2,6,1.596212387084961
92,0,0,1,0,3979,3979,0xf8b,47,12,34,1.5821456909179688
93,1,1,1,1,4082,4082,0x80000ff2,73,10,40,1.5845298767089844
94,0,0,1,0,3978,3978,0xf8a,15,2,14,1.6815662384033203
95,0,0,1,0,3978,3978,0xf8a,5,2,4,1.5823841094970703
96,1,0,0,0,3978,3978,0xf8a,11,4,8,1.7576217651367188
97,1,0,0,0,3978,3978,0xf8a,1,1,1,1.5909671783447266
98,0,0,1,0,3978,3978,0xf8a,40,2,34,1.5835762023925781
99,1,0,0,0,3978,3978,0xf8a,2,1,2,1.5935897827148438
100,0,0,1,0,3978,3978,0xf8a,14,2,13,1.7085075378417969
101,1,0,0,0,3978,3978,0xf8a,13,3,10,1.5811920166015625
102,0,0,1,0,3978,3978,0xf8a,23,4,16,1.5914440155029297
103,0,0,1,0,3978,3978,0xf8a,18,7,8,1.596689224243164
104,0,0,1,0,3978,3978,0xf8a,1,1,1,1.64031982421875
105,0,0,1,0,3978,3978,0xf8a,13,3,11,1.5797615051269531
106,1,1,1,1,4056,4056,0x80000fd8,51,12,29,1.5904903411865234
107,0,0,1,0,3978,3978,0xf8a,17,2,16,1.5904903411865234
108,0,0,1,0,3978,3978,0xf8a,26,8,10,1.5900135040283203
109,0,0,1,0,3978,3978,0xf8a,2,1,2,1.5902519226074219
110,1,0,0,0,3979,3979,0xf8b,38,4,25,1.5718936920166016
111,1,0,0,0,3978,3978,0xf8a,13,2,11,1.5866756439208984
112,1,1,1,1,84,84,0x80000054,70,9,27,1.5861988067626953
113,1,0,0,0,3978,3978,0xf8a,0,0,0,1.5864372253417969
114,1,0,0,0,3978,3978,0xf8a,3,1,3,1.6281604766845703
115,1,1,1,1,16,16,0x80000010,29,8,14,1.5919208526611328
116,1,0,0,0,3978,3978,0xf8a,14,2,13,1.5823841094970703
117,1,1,1,1,246,246,0x800000f6,86,18,19,1.5835762023925781
118,1,1,1,1,265,265,0x80000109,93,11,35,1.5828609466552734
119,0,0,1,0,3978,3978,0xf8a,17,2,15,1.5780925750732422
120,1,1,1,1,441,441,0x800001b9,132,12,34,1.5883445739746094
121,0,0,1,0,3978,3978,0xf8a,31,4,26,1.5871524810791016
122,0,0,1,0,3978,3978,0xf8a,23,4,19,1.5790462493896484
123,1,1,1,1,3984,3984,0x80000f90,28,6,12,1.6808509826660156
124,1,1,1,1,244,244,0x800000f4,170,22,42,1.584768295288086
125,1,1,1,1,81,81,0x80000051,50,17,8,1.7685890197753906
126,0,0,1,0,3977,3977,0xf89,70,7,46,1.5833377838134766
127,1,1,1,1,133,133,0x80000085,44,12,13,1.5833377838134766
128,0,0,1,0,3978,3978,0xf8a,7,2,6,1.588582992553711
129,0,1,0,1,4081,4081,0x80000ff1,83,12,41,1.5997886657714844
130,0,0,1,0,3978,3978,0xf8a,20,2,17,1.585245132446289
131,1,0,0,0,3978,3978,0xf8a,0,0,0,1.588582992553711
132,0,0,1,0,3978,3978,0xf8a,28,4,14,1.5826225280761719
133,0,1,0,1,4002,4002,0x80000fa2,42,12,21,1.6846656799316406
134,0,0,1,0,3978,3978,0xf8a,18,4,11,1.5900135040283203
135,1,0,0,0,3978,3978,0xf8a,5,1,5,1.5888214111328125
136,1,0,0,0,3978,3978,0xf8a,1,1,1,1.5833377838134766
137,0,0,1,0,3978,3978,0xf8a,14,3,11,1.5914440155029297
138,0,0,1,0,3978,3978,0xf8a,16,2,14,1.707315444946289
139,0,0,1,0,3978,3978,0xf8a,29,8,21,1.569986343383789
140,0,0,1,0,3978,3978,0xf8a,24,3,22,1.6200542449951172
141,0,1,0,1,3984,3984,0x80000f90,188,14,105,1.6391277313232422
142,0,0,1,0,3978,3978,0xf8a,21,9,9,1.6126632690429688
143,0,1,0,1,4078,4078,0x80000fee,204,12,113,1.6279220581054688
144,1,0,0,0,3978,3978,0xf8a,3,1,3,1.6198158264160156
145,0,0,1,0,3978,3978,0xf8a,1,1,1,1.7383098602294922
146,1,1,1,1,217,217,0x800000d9,65,15,23,1.621246337890625
147,1,1,1,1,102,102,0x80000066,71,8,30,1.6231536865234375
148,0,1,0,1,4025,4025,0x80000fb9,99,7,46,1.6169548034667969
149,0,0,1,0,3978,3978,0xf8a,11,1,11,1.6334056854248047
150,0,0,1,0,3978,3978,0xf8a,11,4,7,1.6219615936279297
151,0,1,0,1,128,128,0x80000080,62,14,15,1.6210079193115234
152,0,0,1,0,3978,3978,0xf8a,10,1,10,1.6269683837890625
153,0,0,1,0,3978,3978,0xf8a,7,2,6,1.7480850219726562
154,1,1,1,1,21,21,0x80000015,66,14,29,1.6298294067382812
155,1,1,1,1,3983,3983,0x80000f8f,19,6,12,1.6243457794189453
156,1,1,1,1,1998,1998,0x800007ce,163,18,44,1.6269683837890625
157,0,0,1,0,3978,3978,0xf8a,1,1,1,1.6236305236816406
158,1,0,0,0,3978,3978,0xf8a,15,3,12,1.613616943359375
159,1,0,0,0,3978,3978,0xf8a,5,2,4,1.6891956329345703
160,0,0,1,0,3978,3978,0xf8a,19,5,12,1.6274452209472656
161,1,0,0,0,3978,3978,0xf8a,3,2,2,1.585245132446289
162,1,1,1,1,192,192,0x800000c0,64,11,23,1.6279220581054688
163,1,1,1,1,49,49,0x80000031,23,11,4,1.6498565673828125
164,0,0,1,0,3978,3978,0xf8a,24,3,21,1.6129016876220703
165,1,0,0,0,3978,3978,0xf8a,2,1,2,1.6245841979980469
166,1,1,1,1,3984,3984,0x80000f90,37,4,29,1.6252994537353516
167,0,0,1,0,3978,3978,0xf8a,5,1,5,1.74713134765625
168,0,0,1,0,3978,3978,0xf8a,13,1,13,1.6231536865234375
169,1,0,0,0,3954,3954,0xf72,210,15,77,1.6245841979980469
170,0,0,1,0,3978,3978,0xf8a,19,3,17,1.627206802368164
171,1,1,1,1,3988,3988,0x80000f94,46,7,31,1.6322135925292969
172,0,1,0,1,4019,4019,0x80000fb3,56,7,27,1.6264915466308594
173,1,0,0,0,3978,3978,0xf8a,7,1,7,1.6245841979980469
174,0,0,1,0,3978,3978,0xf8a,1,1,1,1.5761852264404297
175,0,0,1,0,3977,3977,0xf89,25,10,15,1.560211181640625
176,0,0,1,0,3978,3978,0xf8a,24,3,20,1.5625953674316406
177,0,0,1,0,3978,3978,0xf8a,10,1,10,1.5861988067626953
178,0,0,1,0,3978,3978,0xf8a,1,1,1,1.575469970703125
179,1,1,1,1,4008,4008,0x80000fa8,30,6,19,1.672506332397461
180,0,1,0,1,3982,3982,0x80000f8e,25,4,18,1.569986343383789
181,0,1,0,1,4048,4048,0x80000fd0,40,7,20,1.5807151794433594
182,1,1,1,1,4066,4066,0x80000fe2,49,6,26,1.5680789947509766
183,1,0,0,0,3978,3978,0xf8a,4,2,3,1.6088485717773438
184,0,0,1,0,3978,3978,0xf8a,12,2,11,1.5816688537597656
185,1,1,1,1,10,10,0x8000000a,92,7,49,1.5764236450195312
186,0,0,1,0,3978,3978,0xf8a,33,4,27,1.5745162963867188
187,0,0,1,0,3978,3978,0xf8a,23,4,17,1.5714168548583984
188,0,0,1,0,3978,3978,0xf8a,19,3,14,1.5685558319091797
189,0,0,1,0,3978,3978,0xf8a,3,2,2,1.5780925750732422
190,1,0,0,0,3979,3979,0xf8b,24,7,14,1.5842914581298828
191,0,0,1,0,3978,3978,0xf8a,15,2,14,1.7123222351074219
192,1,1,1,1,4083,4083,0x80000ff3,49,9,27,1.5685558319091797
193,0,0,1,0,3978,3978,0xf8a,25,2,22,1.649618148803711
194,1,1,1,1,4082,4082,0x80000ff2,89,9,45,1.5742778778076172
195,0,0,1,0,3978,3978,0xf8a,28,2,27,1.5642642974853516
196,0,0,1,0,3978,3978,0xf8a,36,6,25,1.5747547149658203
197,1,1,1,1,4064,4064,0x80000fe0,53,10,31,1.569509506225586
198,1,1,1,1,3987,3987,0x80000f93,29,5,19,1.5654563903808594
199,0,0,1,0,3978,3978,0xf8a,1,1,1,1.7175674438476562
200,0,0,1,0,3978,3978,0xf8a,26,5,13,1.561880111694336
201,1,0,0,0,3978,3978,0xf8a,7,4,3,1.5692710876464844
202,1,0,0,0,3978,3978,0xf8a,0,0,0,1.5957355499267578
203,0,1,0,1,221,221,0x800000dd,53,13,17,1.5652179718017578
204,1,0,0,0,3978,3978,0xf8a,8,4,5,1.5616416931152344
205,0,0,1,0,3978,3978,0xf8a,1,1,1,1.5702247619628906
206,1,0,0,0,3978,3978,0xf8a,4,1,4,1.665353775024414
207,1,1,1,1,138,138,0x8000008a,77,24,34,1.5649795532226562
208,1,1,1,1,4001,4001,0x80000fa1,88,6,47,1.5664100646972656
209,0,0,1,0,3978,3978,0xf8a,7,1,7,1.5685558319091797
210,1,0,0,0,3978,3978,0xf8a,8,1,8,1.5609264373779297
211,0,1,0,1,17,17,0x80000011,36,18,14,1.6715526580810547
212,1,1,1,1,422,422,0x800001a6,192,25,56,1.5807151794433594
213,1,1,1,1,122,122,0x8000007a,53,15,15,1.5647411346435547
214,1,1,1,1,4091,4091,0x80000ffb,80,10,39,1.573801040649414
215,1,1,1,1,3987,3987,0x80000f93,42,5,24,1.5723705291748047
216,0,0,1,0,3978,3978,0xf8a,13,4,10,1.5537738800048828
217,0,0,1,0,3978,3978,0xf8a,14,3,11,1.5630722045898438
218,1,1,1,1,46,46,0x8000002e,29,8,9,1.560211181640625
219,1,1,1,1,4000,4000,0x80000fa0,14,9,4,1.5850067138671875
220,1,0,0,0,3978,3978,0xf8a,17,4,12,1.5590190887451172
221,1,1,1,1,15,15,0x8000000f,46,14,12,1.5528202056884766
222,0,0,1,0,3978,3978,0xf8a,41,4,31,1.7521381378173828
223,1,0,0,0,3978,3978,0xf8a,10,2,6,1.592397689819336
224,0,0,1,0,3978,3978,0xf8a,11,3,9,1.5544891357421875
225,1,1,1,1,4008,4008,0x80000fa8,27,8,15,1.6202926635742188
226,1,1,1,1,312,312,0x80000138,78,16,22,1.5583038330078125
227,0,1,0,1,3997,3997,0x80000f9d,157,7,87,1.5609264373779297
228,0,0,1,0,3978,3978,0xf8a,4,1,4,1.5971660614013672
229,0,1,0,1,41,41,0x80000029,75,30,33,1.5628337860107422
230,1,0,0,0,3977,3977,0xf89,32,7,21,1.5513896942138672
231,0,0,1,0,3978,3978,0xf8a,7,2,6,1.5878677368164062
232,1,1,1,1,4079,4079,0x80000fef,123,9,73,1.5630722045898438
233,0,0,1,0,3978,3978,0xf8a,16,3,9,1.5835762023925781
234,1,0,0,0,3978,3978,0xf8a,17,3,10,1.5840530395507812
235,0,0,1,0,3978,3978,0xf8a,12,1,12,1.5854835510253906
236,0,0,1,0,3978,3978,0xf8a,7,1,7,1.6937255859375
237,0,0,1,0,3978,3978,0xf8a,54,4,42,1.5828609466552734
238,1,1,1,1,4037,4037,0x80000fc5,55,16,17,1.5721321105957031
239,1,1,1,1,370,370,0x80000172,124,27,22,1.5749931335449219
240,0,0,1,0,3978,3978,0xf8a,13,2,9,1.7414093017578125
241,1,1,1,1,3984,3984,0x80000f90,43,5,25,1.5900135040283203
242,1,0,0,0,3978,3978,0xf8a,3,1,3,1.5766620635986328
243,0,0,1,0,3978,3978,0xf8a,13,5,8,1.5897750854492188
244,1,1,1,1,4049,4049,0x80000fd1,45,8,21,1.5761852264404297
245,0,0,1,0,3978,3978,0xf8a,2,1,2,1.6589164733886719
246,0,0,1,0,3978,3978,0xf8a,5,2,4,1.5747547149658203
247,0,0,1,0,3978,3978,0xf8a,9,2,8,1.5833377838134766
248,1,1,1,1,3993,3993,0x80000f99,62,5,45,1.5790462493896484
249,0,0,1,0,3978,3978,0xf8a,14,2,13,1.6064643859863281
250,0,0,1,0,3978,3978,0xf8a,10,3,7,1.5826225280761719
251,1,1,1,1,74,74,0x8000004a,122,7,71,1.5716552734375
252,0,0,1,0,3978,3978,0xf8a,43,4,34,1.5864372253417969
253,1,1,1,1,4054,4054,0x80000fd6,47,5,25,1.5788078308105469
254,0,0,1,0,3978,3978,0xf8a,20,2,17,1.5747547149658203
255,0,0,1,0,3978,3978,0xf8a,25,4,19,1.5869140625
256,0,0,1,0,3978,3978,0xf8a,38,7,23,1.5790462493896484
257,1,0,0,0,3978,3978,0xf8a,2,1,2,1.5668869018554688
258,0,0,1,0,3978,3978,0xf8a,18,3,10,1.6963481903076172
259,0,0,1,0,3978,3978,0xf8a,6,1,6,1.588582992553711
260,1,1,1,1,16,16,0x80000010,40,7,19,1.5866756439208984
261,0,0,1,0,3978,3978,0xf8a,23,2,21,1.5797615051269531
262,1,0,0,0,3978,3978,0xf8a,20,3,15,1.600503921508789
263,0,0,1,0,3978,3978,0xf8a,19,7,11,1.5707015991210938
264,1,0,0,0,3978,3978,0xf8a,14,4,11,1.5909671783447266
265,0,0,1,0,3978,3978,0xf8a,13,1,13,1.5838146209716797
266,1,0,0,0,3978,3978,0xf8a,4,2,3,1.7168521881103516
267,0,0,1,0,3978,3978,0xf8a,25,3,20,1.5811920166015625
268,0,0,1,0,3978,3978,0xf8a,15,2,14,1.5950202941894531
269,0,0,1,0,3978,3978,0xf8a,9,3,7,1.5799999237060547
270,1,0,0,0,3977,3977,0xf89,26,4,18,1.5864372253417969
271,1,1,1,1,268,268,0x8000010c,99,13,39,1.5745162963867188
272,0,0,1,0,3978,3978,0xf8a,9,2,8,1.6291141510009766
273,1,0,0,0,3978,3978,0xf8a,13,2,7,1.6319751739501953
274,0,0,1,0,3978,3978,0xf8a,14,3,9,1.6293525695800781
275,1,0,0,0,3978,3978,0xf8a,6,3,4,1.6062259674072266
276,1,1,1,1,3988,3988,0x80000f94,19,5,9,1.6374588012695312
277,1,1,1,1,330,330,0x8000014a,107,14,35,1.5752315521240234
278,0,0,1,0,3978,3978,0xf8a,11,3,8,1.6329288482666016
279,1,0,0,0,3978,3978,0xf8a,10,1,10,1.6355514526367188
280,1,1,1,1,445,445,0x800001bd,97,29,29,1.592874526977539
281,0,1,0,1,85,85,0x80000055,51,19,19,1.5938282012939453
282,0,0,1,0,3978,3978,0xf8a,11,2,10,1.5842914581298828
283,0,0,1,0,3978,3978,0xf8a,13,3,11,1.6407966613769531
284,0,0,1,0,3978,3978,0xf8a,5,1,5,1.6338825225830078
285,1,0,0,0,3978,3978,0xf8a,0,0,0,1.622915267944336
286,0,1,0,1,168,168,0x800000a8,121,14,65,1.6379356384277344
287,1,0,0,0,3978,3978,0xf8a,40,6,32,1.6224384307861328
288,0,0,1,0,3978,3978,0xf8a,3,1,3,1.7325878143310547
289,0,0,1,0,3978,3978,0xf8a,24,3,21,1.5838146209716797
290,1,0,0,0,3978,3978,0xf8a,5,1,5,1.627206802368164
291,1,1,1,1,439,439,0x800001b7,376,18,112,1.6372203826904297
292,1,1,1,1,25,25,0x80000019,65,9,23,1.6443729400634766
293,1,0,0,0,3978,3978,0xf8a,16,2,14,1.6236305236816406
294,0,0,1,0,3978,3978,0xf8a,20,2,19,1.5933513641357422
295,0,0,1,0,3981,3981,0xf8d,32,8,21,1.5916824340820312
296,1,1,1,1,252,252,0x800000fc,168,11,73,1.650094985961914
297,1,1,1,1,4002,4002,0x80000fa2,60,4,38,1.5895366668701172
298,1,0,0,0,3978,3978,0xf8a,19,2,16,1.5916824340820312
299,1,1,1,1,127,127,0x8000007f,173,64,41,1.5819072723388672
